Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000
0,1/2/2016,0,Bolivia,0,2,0,0,1/2/2016,2,0,2015,11025
0,1/2/2016,0,Curaçao,0,2,0,0,1/2/2016,2,0,2015,150
0,1/2/2016,0,Aruba,0,2,0,0,1/2/2016,2,0,2015,112
0,1/2/2016,,"Bonaire, Saint Eustatius and Saba",0,2,0,0,1/2/2016,2,0,2015,
0,1/2/2016,0,Nicaragua,0,2,0,0,1/2/2016,2,0,2015,6257
0,1/2/2016,0,Panama,0,2,0,0,1/2/2016,2,0,2015,3988
0,1/2/2016,0,Paraguay,0,2,0,0,1/2/2016,2,0,2015,7033
0,1/2/2016,0,Peru,0,2,0,0,1/2/2016,2,0,2015,31161
0,1/2/2016,0,Puerto Rico,0,2,0,0,1/2/2016,2,0,2015,3680
0,1/2/2016,0,Saint Barthelemy,0,2,0,0,1/2/2016,2,0,2015,9
0,1/2/2016,0,Anguilla,0,2,0,0,1/2/2016,2,0,2015,16
0,1/2/2016,0,Saint Lucia,0,2,0,0,1/2/2016,2,0,2015,164
0,1/2/2016,0,Saint Martin,0,2,0,0,1/2/2016,2,0,2015,32
0,1/2/2016,0,Saint Vincent and the Grenadines,0,2,0,0,1/2/2016,2,0,2015,103
0,1/2/2016,0,Suriname,0,2,0,0,1/2/2016,2,0,2015,548
0,1/2/2016,0,Trinidad and Tobago,0,2,0,0,1/2/2016,2,0,2015,1347
0,1/2/2016,0,United States of America,0,2,,0,1/2/2016,2,0,2015,325128
0,1/2/2016,0,Virgin Islands (US),0,2,0,0,1/2/2016,2,0,2015,104
0,1/2/2016,0,Venezuela,0,2,0,0,1/2/2016,2,0,2015,31293
,1/2/2016,,Saint Kitts and Nevis,,2,,,1/2/2016,-,,2015,52
,12/29/2018,,Barbados,,2,,,12/29/2018,-,,2015,291
,1/2/2016,,Virgin Islands (UK),,2,,,1/2/2016,-,,2015,33
,1/2/2016,,Virgin Islands (UK),,2,,,1/2/2016,-,,2015,33
,1/2/2016,,Turks and Caicos Islands,,2,,,1/2/2016,-,,2015,50
,1/2/2016,,Guatemala,,2,,,1/2/2016,-,,2015,16255
0,1/2/2016,0,Argentina,0,3,0,0,1/2/2016,3,0,2015,42155
0,1/2/2016,0,Canada,0,3,0,,1/2/2016,3,0,2015,0
0,1/2/2016,0,Costa Rica,0,3,0,0,1/2/2016,3,0,2015,5002
0,1/2/2016,0,Cuba,0,3,0,0,1/2/2016,3,0,2015,11249
0,1/2/2016,0,Grenada,0,3,0,0,1/2/2016,3,0,2015,111
0,1/2/2016,0,Guyana,0,3,0,0,1/2/2016,3,0,2015,808
0,1/2/2016,0,Jamaica,0,3,0,0,1/2/2016,3,0,2015,2813
0,1/2/2016,0,Mexico,0,3,0,0,1/2/2016,3,0,2015,125236
0,1/2/2016,0,Martinique,0,3,0,0,1/2/2016,3,0,2015,406
0,1/2/2016,0,Haiti,0,3,0,0,1/2/2016,3,0,2015,10604
0,1/2/2016,0,Honduras,0,3,0,0,1/2/2016,3,0,2015,8424
0,1/2/2016,0,French Guiana,0,3,0,0,1/2/2016,3,0,2015,262
0,1/2/2016,0,Guadeloupe,0,3,0,0,1/2/2016,3,0,2015,470
0,1/2/2016,0,Dominica,0,3,0,0,1/2/2016,3,0,2015,74
0,1/2/2016,0,Dominican Republic,0,3,0,0,1/2/2016,3,0,2015,10652
0,1/2/2016,0,Ecuador,0,3,0,0,1/2/2016,3,0,2015,16226
0,1/2/2016,0,Colombia,0,3,0,0,1/2/2016,3,0,2015,49529
42,1/2/2016,0.02,Brazil,0,3,0,20,1/2/2016,3,42,2015,203657
0,1/2/2016,0,El Salvador,0,3,0,0,1/2/2016,3,0,2015,6426
0,1/2/2016,0,Belize,0,3,0,0,1/2/2016,3,0,2015,348
0,1/2/2016,0,Bolivia,0,3,0,0,1/2/2016,3,0,2015,11025
0,1/2/2016,0,Curaçao,0,3,0,0,1/2/2016,3,0,2015,150
0,1/2/2016,0,Aruba,0,3,0,0,1/2/2016,3,0,2015,112
